ESTATURA,PESO,PESO BAJO,PESO NORMAL,SOBRE PESO 1,SOBRE PESO 2,PESO
196,50,1,0,0,0,8
166,103,0,0,0,1,1
154,98,0,0,0,1,1
163,55,1,0,0,0,8
178,53,1,0,0,0,8
184,71,1,0,0,0,8
161,83,0,0,1,0,2
189,63,1,0,0,0,8
198,114,0,1,0,0,4
193,103,0,1,0,0,4
158,111,0,0,0,1,1
152,66,0,1,0,0,4
187,47,1,0,0,0,8
181,118,0,0,0,1,1
196,79,1,0,0,0,8
176,87,0,1,0,0,4
152,89,0,0,0,1,1
154,73,0,0,1,0,2
164,110,0,0,0,1,1
172,90,0,0,1,0,2
151,113,0,0,0,1,1
159,57,1,0,0,0,8
198,51,1,0,0,0,8
184,108,0,0,1,0,2
180,74,1,0,0,0,8
190,89,0,1,0,0,4
184,57,1,0,0,0,8
181,52,1,0,0,0,8
180,104,0,0,1,0,2
198,98,0,1,0,0,4
163,72,0,1,0,0,4
191,98,0,1,0,0,4
185,53,1,0,0,0,8
166,94,0,0,1,0,2
163,72,0,1,0,0,4
181,53,1,0,0,0,8
155,61,0,1,0,0,4
168,120,0,0,0,1,1
156,93,0,0,0,1,1
152,58,0,1,0,0,4
155,66,0,1,0,0,4
155,111,0,0,0,1,1
187,56,1,0,0,0,8
199,102,0,1,0,0,4
160,82,0,0,1,0,2
179,66,1,0,0,0,8
150,106,0,0,0,1,1
186,61,1,0,0,0,8
186,110,0,0,1,0,2
190,43,1,0,0,0,8
151,89,0,0,0,1,1
177,87,0,1,0,0,4
150,94,0,0,0,1,1
154,97,0,0,0,1,1
156,41,1,0,0,0,8
176,87,0,1,0,0,4
195,75,1,0,0,0,8
159,89,0,0,0,1,1
200,110,0,1,0,0,4
188,113,0,0,1,0,2
197,65,1,0,0,0,8
152,46,1,0,0,0,8
150,51,1,0,0,0,8
159,81,0,0,1,0,2
196,108,0,1,0,0,4
186,119,0,0,1,0,2
154,83,0,0,1,0,2
184,99,0,1,0,0,4
176,85,0,1,0,0,4
169,61,1,0,0,0,8
154,71,0,1,0,0,4
166,89,0,0,1,0,2
179,44,1,0,0,0,8
182,108,0,0,1,0,2
181,62,1,0,0,0,8
161,75,0,1,0,0,4
191,92,0,1,0,0,4
187,120,0,0,1,0,2
173,54,1,0,0,0,8
191,87,1,0,0,0,8
192,96,0,1,0,0,4
181,106,0,0,1,0,2
162,90,0,0,1,0,2
171,82,0,1,0,0,4
182,72,1,0,0,0,8
172,112,0,0,0,1,1
176,42,1,0,0,0,8
195,93,0,1,0,0,4
192,113,0,0,1,0,2
195,115,0,0,1,0,2
188,115,0,0,1,0,2
165,97,0,0,0,1,1
189,74,1,0,0,0,8
157,86,0,0,1,0,2
195,55,1,0,0,0,8
170,119,0,0,0,1,1
172,47,1,0,0,0,8
187,112,0,0,1,0,2
159,72,0,1,0,0,4
164,70,0,1,0,0,4
191,66,1,0,0,0,8
155,57,1,0,0,0,8
195,100,0,1,0,0,4
170,119,0,0,0,1,1
170,59,1,0,0,0,8
150,112,0,0,0,1,1
151,84,0,0,0,1,1
160,44,1,0,0,0,8
168,51,1,0,0,0,8
168,63,1,0,0,0,8
169,80,0,1,0,0,4
180,66,1,0,0,0,8
191,120,0,0,1,0,2
152,88,0,0,0,1,1
192,54,1,0,0,0,8
190,45,1,0,0,0,8
172,73,0,1,0,0,4
196,58,1,0,0,0,8
182,63,1,0,0,0,8
167,48,1,0,0,0,8
185,108,0,0,1,0,2
161,109,0,0,0,1,1
166,66,1,0,0,0,8
171,40,1,0,0,0,8
161,112,0,0,0,1,1
173,120,0,0,0,1,1
176,58,1,0,0,0,8
165,101,0,0,0,1,1
182,69,1,0,0,0,8
180,108,0,0,1,0,2
184,50,1,0,0,0,8
173,48,1,0,0,0,8
157,63,0,1,0,0,4
161,97,0,0,0,1,1
173,84,0,1,0,0,4
160,69,0,1,0,0,4
186,68,1,0,0,0,8
152,112,0,0,0,1,1
181,74,1,0,0,0,8
197,115,0,1,0,0,4
156,61,0,1,0,0,4
164,68,0,1,0,0,4
167,88,0,0,1,0,2
184,44,1,0,0,0,8
173,95,0,0,1,0,2
180,118,0,0,0,1,1
161,73,0,1,0,0,4
153,119,0,0,0,1,1
166,102,0,0,0,1,1
190,75,1,0,0,0,8
172,47,1,0,0,0,8
198,95,0,1,0,0,4
188,62,1,0,0,0,8
176,94,0,0,1,0,2
160,114,0,0,0,1,1
154,107,0,0,0,1,1
169,44,1,0,0,0,8
181,80,0,1,0,0,4
190,107,0,1,0,0,4
157,73,0,1,0,0,4
198,44,1,0,0,0,8
181,98,0,1,0,0,4
197,44,1,0,0,0,8
170,49,1,0,0,0,8
193,109,0,1,0,0,4
154,88,0,0,0,1,1
163,42,1,0,0,0,8
154,48,1,0,0,0,8
182,87,0,1,0,0,4
152,67,0,1,0,0,4
166,70,0,1,0,0,4
156,60,0,1,0,0,4
174,111,0,0,0,1,1
178,64,1,0,0,0,8
193,80,1,0,0,0,8
181,68,1,0,0,0,8
151,113,0,0,0,1,1
186,69,1,0,0,0,8
170,72,0,1,0,0,4
174,69,1,0,0,0,8
172,47,1,0,0,0,8
185,100,0,1,0,0,4
183,119,0,0,0,1,1
172,56,1,0,0,0,8
163,113,0,0,0,1,1
178,47,1,0,0,0,8
200,43,1,0,0,0,8
160,76,0,1,0,0,4
185,73,1,0,0,0,8
164,42,1,0,0,0,8
154,81,0,0,1,0,2
164,109,0,0,0,1,1
183,96,0,1,0,0,4
191,100,0,1,0,0,4
162,112,0,0,0,1,1
164,74,0,1,0,0,4
151,101,0,0,0,1,1
181,87,0,1,0,0,4
189,54,1,0,0,0,8
179,91,0,1,0,0,4
172,98,0,0,1,0,2
169,79,0,1,0,0,4
168,108,0,0,0,1,1
169,86,0,0,1,0,2
156,44,1,0,0,0,8
159,61,0,1,0,0,4
167,84,0,0,1,0,2
159,70,0,1,0,0,4
191,87,1,0,0,0,8
175,101,0,0,1,0,2
151,110,0,0,0,1,1
153,73,0,0,1,0,2
172,77,0,1,0,0,4
192,70,1,0,0,0,8
179,70,1,0,0,0,8
164,118,0,0,0,1,1
168,83,0,1,0,0,4
186,76,1,0,0,0,8
194,101,0,1,0,0,4
179,100,0,0,1,0,2
197,72,1,0,0,0,8
155,108,0,0,0,1,1
152,79,0,0,1,0,2
164,61,1,0,0,0,8
152,116,0,0,0,1,1
172,85,0,1,0,0,4
162,102,0,0,0,1,1
165,46,1,0,0,0,8
152,90,0,0,0,1,1
176,111,0,0,0,1,1
176,42,1,0,0,0,8
176,58,1,0,0,0,8
152,79,0,0,1,0,2
195,44,1,0,0,0,8
153,117,0,0,0,1,1
177,50,1,0,0,0,8
178,42,1,0,0,0,8
197,99,0,1,0,0,4
165,89,0,0,1,0,2
184,93,0,1,0,0,4
196,89,1,0,0,0,8
153,41,1,0,0,0,8
163,111,0,0,0,1,1
199,101,0,1,0,0,4
191,47,1,0,0,0,8
178,87,0,1,0,0,4
174,117,0,0,0,1,1
184,66,1,0,0,0,8
165,62,1,0,0,0,8
185,41,1,0,0,0,8
161,55,1,0,0,0,8
189,65,1,0,0,0,8
162,94,0,0,0,1,1
157,77,0,0,1,0,2
193,80,1,0,0,0,8
183,43,1,0,0,0,8
181,50,1,0,0,0,8
182,95,0,1,0,0,4
167,60,1,0,0,0,8
200,75,1,0,0,0,8
154,109,0,0,0,1,1
191,51,1,0,0,0,8
154,60,0,1,0,0,4
161,81,0,0,1,0,2
155,78,0,0,1,0,2
192,112,0,0,1,0,2
156,77,0,0,1,0,2
190,78,1,0,0,0,8
196,109,0,1,0,0,4
193,86,1,0,0,0,8
156,94,0,0,0,1,1
170,95,0,0,1,0,2
179,62,1,0,0,0,8
150,115,0,0,0,1,1
159,92,0,0,0,1,1
158,101,0,0,0,1,1
161,104,0,0,0,1,1
171,88,0,0,1,0,2
174,83,0,1,0,0,4
164,88,0,0,1,0,2
174,61,1,0,0,0,8
156,113,0,0,0,1,1
164,40,1,0,0,0,8
162,116,0,0,0,1,1
194,73,1,0,0,0,8
192,98,0,1,0,0,4
162,65,0,1,0,0,4
154,54,1,0,0,0,8
180,46,1,0,0,0,8
184,89,0,1,0,0,4
158,51,1,0,0,0,8
196,118,0,0,1,0,2
186,91,0,1,0,0,4
158,98,0,0,0,1,1
155,50,1,0,0,0,8
181,55,1,0,0,0,8
162,83,0,0,1,0,2
185,52,1,0,0,0,8
178,53,1,0,0,0,8
157,51,1,0,0,0,8
167,49,1,0,0,0,8
180,53,1,0,0,0,8
172,113,0,0,0,1,1
200,79,1,0,0,0,8
169,102,0,0,0,1,1
152,48,1,0,0,0,8
182,107,0,0,1,0,2
163,44,1,0,0,0,8
158,79,0,0,1,0,2
174,88,0,1,0,0,4
182,44,1,0,0,0,8
158,114,0,0,0,1,1
199,55,1,0,0,0,8
197,73,1,0,0,0,8
196,46,1,0,0,0,8
152,69,0,1,0,0,4
178,110,0,0,1,0,2
154,67,0,1,0,0,4
169,52,1,0,0,0,8
189,52,1,0,0,0,8
192,40,1,0,0,0,8
193,96,0,1,0,0,4
179,86,0,1,0,0,4
179,68,1,0,0,0,8
166,64,1,0,0,0,8
189,42,1,0,0,0,8
