TIEMPO,TEMPERATURA,HUMEDAD,VIENTO,LATITUD,LONGITUD
2024-06-18T00:00,26.8,20,15.9,19.378368,-99.178380
2024-06-18T01:00,25.2,27,13.3,19.378368,-99.178380
2024-06-18T02:00,23.5,33,13.4,19.378368,-99.178380
2024-06-18T03:00,21.1,52,14.0,19.378368,-99.178380
2024-06-18T04:00,19.6,62,8.9,19.378368,-99.178380
2024-06-18T05:00,18.5,68,7.0,19.378368,-99.178380
2024-06-18T06:00,18.2,70,6.1,19.378368,-99.178380
2024-06-18T07:00,17.4,73,5.2,19.378368,-99.178380
2024-06-18T08:00,17.0,74,4.7,19.378368,-99.178380
2024-06-18T09:00,16.4,75,4.6,19.378368,-99.178380
2024-06-18T10:00,15.7,77,4.1,19.378368,-99.178380
2024-06-18T11:00,14.9,77,3.9,19.378368,-99.178380
2024-06-18T12:00,13.9,73,4.8,19.378368,-99.178380
2024-06-18T13:00,14.3,66,4.5,19.378368,-99.178380
2024-06-18T14:00,17.7,56,0.8,19.378368,-99.178380
2024-06-18T15:00,19.8,53,3.5,19.378368,-99.178380
2024-06-18T16:00,22.5,36,5.9,19.378368,-99.178380
2024-06-18T17:00,24.7,29,10.9,19.378368,-99.178380
2024-06-18T18:00,26.3,24,13.5,19.378368,-99.178380
2024-06-18T19:00,27.5,20,15.2,19.378368,-99.178380
2024-06-18T20:00,28.2,19,15.9,19.378368,-99.178380
2024-06-18T21:00,28.6,19,16.6,19.378368,-99.178380
2024-06-18T22:00,28.3,19,16.9,19.378368,-99.178380
2024-06-18T23:00,27.8,21,16.9,19.378368,-99.178380
2024-06-19T00:00,26.5,25,18.2,19.378368,-99.178380
2024-06-19T01:00,25.1,25,14.8,19.378368,-99.178380
2024-06-19T02:00,22.9,39,17.2,19.378368,-99.178380
2024-06-19T03:00,20.7,54,13.0,19.378368,-99.178380
2024-06-19T04:00,19.4,61,7.8,19.378368,-99.178380
2024-06-19T05:00,18.4,67,5.4,19.378368,-99.178380
2024-06-19T06:00,17.5,72,6.3,19.378368,-99.178380
2024-06-19T07:00,16.8,75,6.9,19.378368,-99.178380
2024-06-19T08:00,16.4,76,6.4,19.378368,-99.178380
2024-06-19T09:00,15.6,76,6.1,19.378368,-99.178380
2024-06-19T10:00,14.8,75,5.9,19.378368,-99.178380
2024-06-19T11:00,14.0,74,4.8,19.378368,-99.178380
2024-06-19T12:00,12.9,75,4.4,19.378368,-99.178380
2024-06-19T13:00,13.3,72,4.5,19.378368,-99.178380
2024-06-19T14:00,16.8,55,2.2,19.378368,-99.178380
2024-06-19T15:00,19.4,51,2.5,19.378368,-99.178380
2024-06-19T16:00,21.8,41,6.3,19.378368,-99.178380
2024-06-19T17:00,23.9,34,11.1,19.378368,-99.178380
2024-06-19T18:00,25.3,29,12.9,19.378368,-99.178380
2024-06-19T19:00,26.5,26,12.3,19.378368,-99.178380
2024-06-19T20:00,27.2,24,12.3,19.378368,-99.178380
2024-06-19T21:00,27.2,23,12.2,19.378368,-99.178380
2024-06-19T22:00,26.9,23,12.2,19.378368,-99.178380
2024-06-19T23:00,26.5,23,13.2,19.378368,-99.178380
2024-06-20T00:00,25.6,27,12.6,19.378368,-99.178380
2024-06-20T01:00,23.9,35,16.7,19.378368,-99.178380
2024-06-20T02:00,21.1,53,13.7,19.378368,-99.178380
2024-06-20T03:00,20.5,56,4.3,19.378368,-99.178380
2024-06-20T04:00,20.2,57,4.3,19.378368,-99.178380
